,Date,stock,value,change
434,5/8/2007,AAPL,13.899277,1.7323491
435,5/8/2007,GSPC,1507.719971,0.32234003
436,5/9/2007,MSFT,24.774243,-0.649775656
437,5/9/2007,IBM,87.001191,0.287414456
438,5/9/2007,SBUX,13.762723,-1.664452594
439,5/9/2007,AAPL,14.140061,0.430387111
440,5/9/2007,GSPC,1512.579956,-1.39562771
441,5/10/2007,MSFT,24.613266,1.01372975
442,5/10/2007,IBM,87.251245,1.241882566
443,5/10/2007,SBUX,13.533649,0.236964916
444,5/10/2007,AAPL,14.200918,1.304260753
445,5/10/2007,GSPC,1491.469971,0.964149817
446,5/11/2007,MSFT,24.862778,0.258985541
447,5/11/2007,IBM,88.334803,-0.386869035
448,5/11/2007,SBUX,13.565719,-2.397838257
449,5/11/2007,AAPL,14.386135,0.57017399
450,5/11/2007,GSPC,1505.849976,-0.179297542
451,5/14/2007,MSFT,24.927169,0.097183118
452,5/14/2007,IBM,87.993063,-0.70095412
453,5/14/2007,SBUX,13.240435,-1.764707882
454,5/14/2007,AAPL,14.468161,-1.682522057
455,5/14/2007,GSPC,1503.150024,-0.130398361
456,5/15/2007,MSFT,24.951394,0.550161646
457,5/15/2007,IBM,87.376272,0.992082839
458,5/15/2007,SBUX,13.00678,-0.669243272
459,5/15/2007,AAPL,14.224731,-0.167405626
460,5/15/2007,GSPC,1501.189941,0.862653928
461,5/16/2007,MSFT,25.088667,-0.289668638
462,5/16/2007,IBM,88.243117,-0.528955703
463,5/16/2007,SBUX,12.919733,0.957442387
464,5/16/2007,AAPL,14.200918,1.956401692
465,5/16/2007,GSPC,1514.140015,-0.091802276
466,5/17/2007,MSFT,25.015993,-0.484182259
467,5/17/2007,IBM,87.77635,2.544868863
468,5/17/2007,SBUX,13.043432,1.685990313
469,5/17/2007,AAPL,14.478745,0.529969966
470,5/17/2007,GSPC,1512.75,0.661047761
471,5/18/2007,MSFT,24.89487,0.713588784
472,5/18/2007,IBM,90.010143,-0.879708635
473,5/18/2007,SBUX,13.263343,1.139893615
474,5/18/2007,AAPL,14.555478,1.781494225
475,5/18/2007,GSPC,1522.75,0.154324479
476,5/21/2007,MSFT,25.072517,-1.159412914
477,5/21/2007,IBM,89.218316,-0.317642176
478,5/21/2007,SBUX,13.414531,-0.922134363
479,5/21/2007,AAPL,14.814783,1.393101742
480,5/21/2007,GSPC,1525.099976,-0.064256837
481,5/22/2007,MSFT,24.781823,-0.35842803
482,5/22/2007,IBM,88.934921,-1.049667543
483,5/22/2007,SBUX,13.290831,-0.413653593
484,5/22/2007,AAPL,15.021168,-0.572492099
485,5/22/2007,GSPC,1524.119995,-0.120723172
486,5/23/2007,MSFT,24.692998,-1.340744449
487,5/23/2007,IBM,88.0014,-1.543857257
488,5/23/2007,SBUX,13.235853,-2.007615225
489,5/23/2007,AAPL,14.935173,-1.948795638
490,5/23/2007,GSPC,1522.280029,-0.970256373
491,5/24/2007,MSFT,24.361928,1.027508989
492,5/24/2007,IBM,86.642784,1.183264148
493,5/24/2007,SBUX,12.970128,1.059704268
494,5/24/2007,AAPL,14.644117,2.647035666
495,5/24/2007,GSPC,1507.51001,0.545268021
496,5/25/2007,MSFT,24.612249,1.017066746
497,5/25/2007,IBM,87.667997,0.694051445
498,5/25/2007,SBUX,13.107573,-0.139812305
499,5/25/2007,AAPL,15.031752,0.642493304
500,5/25/2007,GSPC,1515.72998,0.157020382
501,5/29/2007,MSFT,24.862572,1.039297141
502,5/29/2007,IBM,88.276458,0.963078967
503,5/29/2007,SBUX,13.089247,0.455022355
504,5/29/2007,AAPL,15.12833,3.865324196
505,5/29/2007,GSPC,1518.109985,0.798360799
506,5/30/2007,MSFT,25.120968,-1.350047498
507,5/30/2007,IBM,89.12663,-0.308614833
508,5/30/2007,SBUX,13.148806,0.383274344
509,5/30/2007,AAPL,15.713089,2.037549714
510,5/30/2007,GSPC,1530.22998,0.025487345
511,5/31/2007,MSFT,24.781823,-0.325843664
512,5/31/2007,IBM,88.851572,-0.056282628
513,5/31/2007,SBUX,13.199202,1.110718663
514,5/31/2007,AAPL,16.033251,-2.302165668
515,5/31/2007,GSPC,1530.619995,0.37370288
516,6/1/2007,MSFT,24.701073,0.424973441
517,6/1/2007,IBM,88.801564,-0.290968974
518,6/1/2007,SBUX,13.345808,-1.029858964
519,6/1/2007,AAPL,15.664139,2.474658837
520,6/1/2007,GSPC,1536.339966,0.184860647
521,6/4/2007,MSFT,24.806046,-0.455727608
522,6/4/2007,IBM,88.543179,-0.36713387
523,6/4/2007,SBUX,13.208365,-0.832464881
524,6/4/2007,AAPL,16.051773,1.104432513
525,6/4/2007,GSPC,1539.180054,-0.534706968
526,6/5/2007,MSFT,24.692998,-0.948329563
527,6/5/2007,IBM,88.218107,-3.240733787
528,6/5/2007,SBUX,13.09841,-1.539003589
529,6/5/2007,AAPL,16.229054,0.79073617
530,6/5/2007,GSPC,1530.949951,-0.88637424
531,6/6/2007,MSFT,24.458827,-2.211949903
532,6/6/2007,IBM,85.359193,-0.595646447
533,6/6/2007,SBUX,12.896825,-2.52220217
534,6/6/2007,AAPL,16.357383,0.347781794
535,6/6/2007,GSPC,1517.380005,-1.756978075
536,6/7/2007,MSFT,23.91781,1.45171736
537,6/7/2007,IBM,84.850754,1.247541065
538,6/7/2007,SBUX,12.571541,0.838194777
539,6/7/2007,AAPL,16.414271,0.338522497
540,6/7/2007,GSPC,1490.719971,1.137039372
